Regime,Age,TopHeight,Stocking,DBH,BA,AverageVolume,VolumePerHa,N/ha,DBH,BA,V/N,V/ha,€/ha,Tot Vol,€ Tot,N/ha,DBH,BA,V/N,V/ha,Tot Vol,CAI,CAI,MAI
Regime A,27,17.7,1150,19.7,35.1,0.233,268,,,,,,,,,,,,,,,,9.9,
Regime A,28,18.4,1140,20.5,37.7,0.262,298.7,,,,,,,,,,,,,,,30.7,10.7,
Regime A,29,19.1,1130,21.3,40.2,0.292,329.7,,,,,,,,,,,,,,,31,11.4,
Regime A,30,19.7,1120,22,42.7,0.322,360.9,,,,,,,,,,,,,,,31.3,12,
Regime A,31,20.4,1109,22.7,45,0.354,392.3,,,,,,,,,,,,,,,31.4,12.7,
Regime A,32,21,1098,23.4,47.3,0.386,423.8,,,,,,,,,,,,,,,31.4,13.2,
Regime A,33,21.7,1086,24.1,49.4,0.419,455.2,,,,,,,,,,,,,,,31.4,13.8,
Regime A,34,22.3,1074,24.7,51.5,0.453,486.5,,,,,,,,,,,,,,,31.3,14.3,
Regime A,35,22.9,1062,25.3,53.5,0.487,517.7,,,,,,,,,,,,,,,31.2,14.8,
Regime A,36,23.5,1050,25.9,55.4,0.523,548.7,,,,,,,,,,,,,,,31,15.2,
Regime A,37,24.1,1037,26.5,57.2,0.559,579.5,,,,,,,,,,,,,,,30.8,15.7,
Regime A,38,24.7,1024,27.1,58.9,0.596,610,,,,,,,,,,,,,,,30.5,16.1,
Regime A,39,25.2,1011,27.6,60.6,0.633,640.1,,,,,,,,,,,,,,,30.2,16.4,
Regime A,40,25.8,998,28.2,62.2,0.671,669.9,,,,,,,,,,,,,,,29.8,16.7,
Regime A,41,26.4,985,28.7,63.7,0.71,699.4,,,,,,,,,,,,,,,29.4,17.1,
Regime A,42,26.9,972,29.2,65.1,0.75,728.4,,,,,,,,,,,,,,,29,17.3,
Regime A,43,27.4,958,29.7,66.5,0.79,756.9,,,,,,,,,,,,,,,28.6,17.6,
Regime A,44,28,945,30.2,67.8,0.831,785,,,,,,,,,,,,,,,28.1,17.8,
Regime A,45,28.5,932,30.7,69.1,0.872,812.6,,,,,,,,,,,,,,,27.6,18.1,
Regime B,27,17.7,1150,19.7,35.1,0.233,268.3,,,,,,,,,,,,,,,,9.9,
Regime B,28,18.4,1140,20.5,37.7,0.262,299,,,,,,,,,,,,,,,30.7,10.7,
Regime B,29,19.1,1130,21.3,40.3,0.292,330.1,,,,,,,,,,,,,,,31,11.4,
Regime B,30,19.7,1120,22,42.7,0.323,361.3,303,18.2,7.9,0.215,65,2334,,,817,23.3,34.8,0.362,296.3,,31.2,12,
Regime B,31,20.4,810,24.2,37.2,0.403,327,,,,,,,,,,,,,,,30.7,12.6,
Regime B,32,21,804,25,39.6,0.445,357.8,,,,,,,,,,,,,,,30.8,13.2,
Regime B,33,21.7,797,25.9,41.8,0.488,388.7,,,,,,,,,,,,,,,30.9,13.7,
Regime B,34,22.3,790,26.6,44,0.531,419.6,,,,,,,,,,,,,,,30.9,14.3,
Regime B,35,22.9,782,27.4,46.1,0.576,450.4,,,,,,,,,,,,,,,30.8,14.7,
Regime B,36,23.5,775,28.1,48.1,0.621,481.2,,,,,,,,,,,,,,,30.7,15.2,
Regime B,37,24.1,767,28.8,50,0.667,511.7,,,,,,,,,,,,,,,30.5,15.6,
Regime B,38,24.7,759,29.5,51.8,0.714,542,,,,,,,,,,,,,,,30.3,16,
Regime B,39,25.2,751,30.1,53.6,0.762,572,,,,,,,,,,,,,,,30,16.3,
Regime B,40,25.8,742,30.8,55.2,0.811,601.8,,,,,,,,,,,,,,,29.7,16.7,
Regime B,41,26.4,734,31.4,56.8,0.86,631.2,,,,,,,,,,,,,,,29.4,17,
Regime B,42,26.9,726,32,58.4,0.91,660.2,,,,,,,,,,,,,,,29,17.3,
Regime B,43,27.4,717,32.6,59.8,0.961,688.8,,,,,,,,,,,,,,,28.6,17.5,
Regime B,44,28,708,33.2,61.2,1.012,716.9,,,,,,,,,,,,,,,28.2,17.8,
Regime B,45,28.5,700,33.7,62.5,1.064,744.7,,,,,,,,,,,,,,,27.7,18,
Regime C,27,17.7,1150,19.7,35.1,0.233,268.3,,,,,,,,,,,,,,,,9.9,
Regime C,28,18.4,1140,20.5,37.7,0.262,299,,,,,,,,,,,,,,,30.7,10.7,
Regime C,29,19.1,1130,21.3,40.3,0.292,330.1,,,,,,,,,,,,,,,31,11.4,
Regime C,30,19.7,1120,22,42.7,0.323,361.3,,,,,,,,,,,,,,,31.2,12,
Regime C,31,20.4,1109,22.7,45.1,0.354,392.7,,,,,,,,,,,,,,,31.4,12.7,
Regime C,32,21,1098,23.4,47.3,0.386,424.1,256,19.3,7.5,0.254,65,2818,,,842,24.5,39.8,0.426,359.1,,31.4,13.3,
Regime C,33,21.7,834,25.3,42.1,0.468,390.2,,,,,,,,,,,,,,,31.1,13.8,
Regime C,34,22.3,827,26.1,44.3,0.51,421.3,,,,,,,,,,,,,,,31.1,14.3,
Regime C,35,22.9,819,26.9,46.4,0.553,452.4,,,,,,,,,,,,,,,31,14.8,
Regime C,36,23.5,811,27.6,48.4,0.596,483.3,,,,,,,,,,,,,,,30.9,15.2,
Regime C,37,24.1,802,28.3,50.3,0.641,514,,,,,,,,,,,,,,,30.7,15.6,
Regime C,38,24.7,794,28.9,52.2,0.686,544.5,,,,,,,,,,,,,,,30.5,16,
Regime C,39,25.2,785,29.6,53.9,0.732,574.7,,,,,,,,,,,,,,,30.2,16.4,
Regime C,40,25.8,776,30.2,55.6,0.779,604.7,,,,,,,,,,,,,,,29.9,16.7,
Regime C,41,26.4,767,30.8,57.2,0.826,634.2,,,,,,,,,,,,,,,29.6,17.1,
Regime C,42,26.9,758,31.4,58.8,0.875,663.4,,,,,,,,,,,,,,,29.2,17.3,
Regime C,43,27.4,749,32,60.2,0.924,692.2,,,,,,,,,,,,,,,28.8,17.6,
Regime C,44,28,740,32.6,61.7,0.973,720.5,,,,,,,,,,,,,,,28.3,17.9,
Regime C,45,28.5,731,33.1,63,1.024,748.4,,,,,,,,,,,,,,,27.9,18.1,
Regime D,27,17.7,1150,19.7,35.1,0.233,268.3,,,,,,,,,,,,,,,,9.9,
Regime D,28,18.4,1140,20.5,37.7,0.262,299,,,,,,,,,,,,,,,30.7,10.7,
Regime D,29,19.1,1130,21.3,40.3,0.292,330.1,333,17.6,8.2,0.195,65,2334,,,798,22.6,32.1,0.332,265.1,,31,11.4,
Regime D,30,19.7,792,23.6,34.6,0.373,295.4,,,,,,,,,,,,,,,30.3,12,
Regime D,31,20.4,786,24.5,37.1,0.415,325.9,,,,,,,,,,,,,,,30.5,12.6,
Regime D,32,21,780,25.4,39.4,0.457,356.6,,,,,,,,,,,,,,,30.7,13.2,
Regime D,33,21.7,773,26.2,41.6,0.501,387.3,,,,,,,,,,,,,,,30.8,13.7,
Regime D,34,22.3,766,27,43.8,0.546,418.1,,,,,,,,,,,,,,,30.8,14.2,
Regime D,35,22.9,759,27.7,45.9,0.591,448.8,,,,,,,,,,,,,,,30.7,14.7,
Regime D,36,23.5,752,28.5,47.8,0.638,479.4,,,,,,,,,,,,,,,30.6,15.1,
Regime D,37,24.1,744,29.2,49.7,0.685,509.8,,,,,,,,,,,,,,,30.4,15.5,
Regime D,38,24.7,736,29.9,51.5,0.733,540,,,,,,,,,,,,,,,30.2,15.9,
Regime D,39,25.2,729,30.5,53.3,0.782,569.9,,,,,,,,,,,,,,,29.9,16.3,
Regime D,40,25.8,721,31.2,54.9,0.832,599.6,,,,,,,,,,,,,,,29.6,16.6,
Regime D,41,26.4,713,31.8,56.5,0.882,628.8,,,,,,,,,,,,,,,29.3,16.9,
Regime D,42,26.9,704,32.4,58.1,0.934,657.7,,,,,,,,,,,,,,,28.9,17.2,
Regime D,43,27.4,696,33,59.5,0.986,686.2,,,,,,,,,,,,,,,28.5,17.5,
Regime D,44,28,688,33.6,60.9,1.038,714.3,,,,,,,,,,,,,,,28.1,17.7,
Regime D,45,28.5,679,34.1,62.2,1.092,741.9,,,,,,,,,,,,,,,27.6,17.9,
Regime E,27,17.7,1150,19.7,35.1,0.233,268.3,,,,,,,,,,,,,,,,9.9,
Regime E,28,18.4,1140,20.5,37.7,0.262,299,,,,,,,,,,,,,,,30.7,10.7,
Regime E,29,19.1,1130,21.3,40.3,0.292,330.1,,,,,,,,,,,,,,,31,11.4,
Regime E,30,19.7,1120,22,42.7,0.323,361.3,,,,,,,,,,,,,,,31.2,12,
Regime E,31,20.4,1109,22.7,45.1,0.354,392.7,,,,,,,,,,,,,,,31.4,12.7,
Regime E,32,21,1098,23.4,47.3,0.386,424.1,,,,,,,,,,,,,,,31.4,13.3,
Regime E,33,21.7,1086,24.1,49.5,0.419,455.6,237,19.8,7.3,0.274,65,3082,,,849,25.1,42.2,0.461,390.6,,31.4,13.8,
Regime E,34,22.3,841,25.9,44.3,0.501,421.7,,,,,,,,,,,,,,,31.2,14.3,
Regime E,35,22.9,833,26.6,46.5,0.544,452.9,,,,,,,,,,,,,,,31.1,14.8,
Regime E,36,23.5,825,27.4,48.5,0.587,483.8,,,,,,,,,,,,,,,31,15.2,
Regime E,37,24.1,816,28,50.4,0.63,514.7,,,,,,,,,,,,,,,30.8,15.7,
Regime E,38,24.7,808,28.7,52.3,0.675,545.2,,,,,,,,,,,,,,,30.6,16.1,
Regime E,39,25.2,799,29.3,54,0.721,575.5,,,,,,,,,,,,,,,30.3,16.4,
Regime E,40,25.8,790,30,55.7,0.767,605.5,,,,,,,,,,,,,,,30,16.8,
Regime E,41,26.4,781,30.6,57.4,0.814,635.2,,,,,,,,,,,,,,,29.6,17.1,
Regime E,42,26.9,771,31.2,58.9,0.861,664.4,,,,,,,,,,,,,,,29.3,17.4,
Regime E,43,27.4,762,31.8,60.4,0.91,693.3,,,,,,,,,,,,,,,28.9,17.6,
Regime E,44,28,753,32.3,61.8,0.959,721.7,,,,,,,,,,,,,,,28.4,17.9,
Regime E,45,28.5,743,32.9,63.2,1.008,749.7,,,,,,,,,,,,,,,28,18.1,